Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Đoàn Giỏi,Rừng Đêm Xào Xạc,"Tôm cá thì đủ thứ, thiếu gì! Tôm càng xanh bằng cườm tay, tép xà búi bằng ngón chân cái, tép bạc lưới về, đổ đống như đống lúa cả trăm giạ. Cá dứa thì có mùa, thuộc loại ngon nhất ở đây. Thịt mềm ngọn xớt. Nấu canh chua ngon lắm. Mỗi tháng có hai ngày ba khía hội. Nước rong, ba khía leo bám đầy lên rễ, lên thân cây đước, cây vẹt. Ba khía làm mắm, chở lên tới Mỹ Tho, Sài Gòn. Cua biển cũng nhiều lắm. Các trại đáy kéo lên, chỉ lấy cá tép. Cua cho ai bắt thì bắt. Thường thường thì đổ xuống sông lúc không có người mua. Cua lột tháng tám mới ngon, và thịt chắc nhất. Bụng đầy gạch son. Lớp luộc, lớp chiên bột, lớp làm mắm nhận trong muối hột. Chừng nào ăn, lấy ra rửa sạch tán nhuyễn, trộn với đường, mỡ, tỏi ớt, chấm với tôm nướng, thịt luộc, ăn rau sống bánh tráng không gì bằng. Tao nhắc còn nhểu nước miếng đó thì bây biết. Còn nói gì sò huyết, vọp, nghêu, cứ nước kém chèo thuyền ra lấy bồ cào, cào đổ lên chớ hơi nào mà bắt…",NXB Kim Đồng,46000,186,39000,01/10/2016,NXB Kim Đồng,Hết hàng,390
Phạm Hữu Đăng Đạt,Chuyện Xưa Xứ Quảng,Cuốn,NXB Kim Đồng,53000,237,45000,31/10/2016,NXB Kim Đồng,Hết hàng,350
Đoàn Giỏi,Những Chuyện Lạ Về Cá,"Cá sấu cũng giỡn mồi như hổ, như mèo. Bắt mồi xong, tha ra giữa sông, hất tung lên, há họng đớp hoặc thả cho con mồi bơi ngoi ngóp, nó “chạy” ra xa, quay đầu lại phóng ầm ầm nổi sóng như ca nô lao tới táp phập một cái rồi lại nhả ra. Giỡn chán mới ăn. Có khi nó nổi lờ đờ cạnh bờ như một thân cây mục, mình bám đầy rêu và vỏ hà. Vô phúc cho người và con vật nào lội xuống gần đó…",NXB Kim Đồng,32000,109,27000,01/10/2016,NXB Kim Đồng,Hết hàng,250
Antoine de Saint-Exupéry,Hoàng Tử Bé (NXB Kim Đồng - Tái Bản 2022),Đây là một cuốn,NXB Kim Đồng,35000,116,29500,06/03/2022,NXB Kim Đồng,Còn hàng,250
Đoàn Giỏi,Cá Bống Mú,Cùng với,NXB Kim Đồng,40000,166,34000,01/10/2016,NXB Kim Đồng,Hết hàng,300
Morgan Matson,Trẻ Măng Và Miễn Phí - Tập 1,"Trước khi gặp Sloane, Emily không đi dự tiệc, hầu như không nói chuyện với các cậu con trai, và chẳng làm điều gì “điên rồ” cả. Thế rồi Sloane đến. Sloane là một “cơn bão” của các mối quan hệ xã hội và là kiểu người bạn tuyệt vời nhất - người có thể lôi bạn ra khỏi cái vỏ ốc của chính bạn.",Báo Sinh Viên VN - Hoa Học trò,75000,300,63500,26/10/2016,NXB Báo Sinh Viên VN - Hoa Học Trò,Hết hàng,450
Đoàn Giỏi,Cuộc Truy Tầm Kho Vũ Khí,"Sự kiện dồn dập. Xúc cảm đẩy lên cung bậc cao nhất. Các biến cố không thể đoán trước. Mỗi biến cố là một thách thức buộc các chiến sĩ trẻ chỉ có một con đường là giành chiến thắng. Chiến thắng trước thủ đoạn đa diện của kẻ thù. Chiến thắng trước sự khốc liệt của thiên nhiên. Chiến thắng trước những ngờ vực và yếu lòng của chính mình. Để cuối hành trình, khi mục tiêu đã được chinh phục, điều mà các anh hùng trẻ tuổi tìm thấy còn lớn lao nhiều lần hơn thế.",NXB Kim Đồng,48000,198,40500,01/10/2016,NXB Kim Đồng,Hết hàng,350
Đoàn Giỏi,Trần Văn Ơn (Tái Bản 2022),"Trần Văn Ơn chính là hình ảnh của những thanh niên trí thức yêu nước, sẵn sàng dành cả tuổi xuân để cống hiến cho đất nước. Trần Văn Ơn đã ngã xuống ngày 9 tháng Một năm 1950, nhưng sẽ còn những thanh niên khác tiếp nối con đường mà anh đã chọn, góp phần giành lại độc lập cho tổ quốc.",NXB Kim Đồng,50000,120,42500,05/12/2022,NXB Kim Đồng,Còn hàng,300
Đoàn Giỏi,Tê Giác Trong Ngàn Xanh,(T,NXB Kim Đồng,40000,164,34000,01/10/2016,NXB Kim Đồng,Hết hàng,300
Hans Olav Lahlum,Người Ruồi,,NXB Phụ Nữ,119000,372,101000,15/10/2016,NXB Phụ Nữ,Hết hàng,550
Brain Works,Bảo Mật Thông Tin Nơi Công Sở - 50 Điều Lưu Ý Để Bảo Vệ Bí Mật Cho Công Ty,"Dù chúng ta có đầu tư vào các công cụ bảo mật thông tin hiện đại đến đâu mà đội ngũ nhân viên làm việc trong công ty không nâng cao hiểu biết cả về kiến thức lẫn kỹ năng về bảo mật thông tin thì việc đầu tư đó cũng chỉ là lãng phí. Thực tế là hiện nay, hầu như ngày nào cũng có những sự cố về bảo mật thông tin diễn ra với muôn hình vạn trạng./",First News - Trí Việt,36000,123,30500,31/12/2010,NXB Trẻ,Hết hàng,400
Lois P.Frankel,Phụ Nữ Thông Minh Không Ở Góc Văn Phòng - 101 Sai Lầm Phụ Nữ Thường Mắc Phải Nơi Công Sở,Chỉ cần duy nhất 1 điều là làm việc chăm chỉ thì sẽ thành công…đó là một trong số 101 sai lầm tiêu biểu,Thái Hà,69000,262,58500,31/03/2009,NXB Tri Thức,Hết hàng,500
Phương Linh,15 Bài Học An Toàn Cho Bé - An Toàn Khi Ở Nhà,là một bộ,NXB Kim Đồng,40000,80,34000,29/10/2018,NXB Kim Đồng,Hết hàng,500
Phan Nguyên,Những Câu Chuyện Của 12 Cung Hoàng Đạo - Thiên Bình : Điều Kỳ Diệu Của Mùa Thu,"""Sẽ rất có thể quên được một chàng trai Thiên Bình, vì họ cứ thế lặng lẽ ghi dấu ấn của họ vào trái tim của cậu.”",Văn Việt,73000,252,62000,26/10/2016,NXB Thế Giới,Hết hàng,452
Linh,Những Nỗi Buồn Không Tên,Chẳng buông được nên ngây ngô giữ mãi,Người Trẻ Việt,75000,220,63500,25/10/2016,NXB Văn Học,Hết hàng,350
Du An,Văn Học Tuổi Hoa - Xuống Phố,Trích đoạn,NXB Kim Đồng,27000,160,22500,27/10/2016,NXB Kim Đồng,Hết hàng,300
Thé Tjong-Khing,Bánh Ga Tô Đâu Nhỉ?,Bé hãy khám phá các bức,NXB Kim Đồng,70000,32,59500,27/10/2016,NXB Kim Đồng,Hết hàng,150
Thé Tjong-Khing,Bí Mật Trong Tay Nải,Bé hãy khám phá các bức,NXB Kim Đồng,70000,32,59500,27/10/2016,NXB Kim Đồng,Hết hàng,150
Nhiều tác giả,Truyện Cổ Tích Việt Nam Dành Cho Bé Thông Minh (Tái Bản 2018),Đây là bộ,NXB Kim Đồng,69000,140,58500,17/06/2018,NXB Kim Đồng,Hết hàng,350
Nhiều Tác Giả,Truyện Cổ Tích Việt Nam Dành Cho Bé Hiếu Học (Tái Bản 2018),Đây là bộ,NXB Kim Đồng,69000,136,58500,17/06/2018,NXB Kim Đồng,Hết hàng,340
Lê Nguyễn Nhật Linh,Vị Hôn,***,Bão,99000,284,84000,12/11/2016,NXB Hội Nhà Văn,Hết hàng,500
Triệu Tĩnh,Nhật Ký Trưởng Thành - Tạm Biệt Người Vô Hình,"Cô giáo nhận xét về bạn ấy như sau: “Rất hiền lành, ngoan ngoãn, khiến thầy cô giáo yên tâm.” Nhưng có một ngày, cô bé",Đinh Tị,59000,196,50000,10/10/2016,NXB Thanh Niên,Hết hàng,300
Triệu Tĩnh,Nhật Ký Trưởng Thành – Đuổi Cổ Con Virus Hậu Đậu,"phải những việc không may mắn. Nhưng sau khi cậu ấy trải qua những bài huấn luyện đáng sợ do các bạn, cô giáo và bố mẹ",Đinh Tị,59000,168,50000,10/10/2016,NXB Thanh Niên,Hết hàng,300
Kész Barnabás,Bộ Sách Thế Giới Diệu Kỳ - Tập 2: Những Nhà Chinh Phạt Lừng Danh,Cuốn sách,Văn Chương,52000,64,44000,05/11/2016,NXB Văn Học,Hết hàng,220
Nhiều tác giả,Bộ Sách Thế Giới Diệu Kỳ - Tập 3: Thiên Nhiên Kỳ Thú,,Văn Chương,52000,64,44000,05/11/2016,NXB Văn Học,Hết hàng,220
Trầm Linh,Nghệ Thuật Xử Thế - Cùng Dale Carnegie Tiến Tới Thành Công,"Bước chân vào thế kỉ mới, chúng ta sẽ phát hiện ra rằng mọi thứ xung quanh đang thay đổi với tốc độ chóng mặt. Cho dù là môi trường sống đang biến đổi từng ngày hay là những quan điểm mới liên tục được sinh ra, thì cũng đều đang từng bước góp phần làm cuộc sống của chúng ta không ngừng thay đổi.",Minh Long,88000,276,74500,30/10/2016,NXB Thanh Niên,Hết hàng,400
Harvard Business Review Press,Quản Lý Dự Án Trong 20 Phút (20 Minute Manager),"Bạn vừa được yêu cầu quản lý một dự án rất quan trọng – hay vừa xung phong đảm trách một nhiệm vụ có thể giúp sự nghiệp thăng tiến? Vậy bạn có đảm bảo dự án sẽ thành công? Chắc chắn là thế, nếu trong tay bạn là cuốn cẩm nang",Alphabooks,79000,128,67000,30/10/2016,NXB Thế Giới,Hết hàng,280
Triệu Tĩnh,Nhật Ký Trưởng Thành – Nhật Ký Giảm Béo Của Bé Mập,nhưng mọi việc không đơn,Đinh Tị,59000,180,50000,25/11/2016,NXB Thanh Niên,Hết hàng,200
Harvard Business Review Press,Lập Kế Hoạch Kinh Doanh Trong 20 Phút (20 Minute Manager),,Alphabooks,79000,144,67000,30/10/2016,NXB Thế Giới,Hết hàng,300
Pasi Sahlberg,Bài Học Phần Lan 2.0,+Chỉ có một kì thi phổ thông cấp quốc gia,Alphabooks,169000,240,143500,26/11/2016,NXB Thế Giới,Hết hàng,450
Harvard Business Review Press,Thuyết Trình Hiệu Quả Trong 20 Phút (20 Minute Manager),,Alphabooks,99000,112,84000,30/10/2016,NXB Thế Giới,Hết hàng,250
Nguyễn Thị Kim Ngân,"Rong Ruổi Scotland Cùng Anh, Em Nhé!",,NXB Trẻ,68000,176,57500,01/11/2016,NXB Trẻ,Hết hàng,300
Phạm Tuấn Sơn,Dám Làm Giàu,Có nhiều con đường khác nhau để trở nên,First News - Trí Việt,88000,240,74500,01/11/2016,NXB Tổng Hợp,Hết hàng,390
Nguyễn Quỳnh Trang,Yêu Trên Đỉnh Kilimanjaro,diễn ra ở bối cảnh Nepal và Tanzania. Truyện kể về hành trình chinh phục đỉnh núi Kilimanjaro linh thiêng ở Tanzania của hai nhân vật chính.,Văn Lang,98000,270,83000,31/08/2016,NXB Hội Nhà Văn,Hết hàng,400
Frank McCourt,Người Thầy - Hồi Ức Của Một Nhà Giáo Mỹ (Tái Bản 2016),"- Billy Collins, tác giả “Vấn đề về thơ: và những bài thơ khác”",Nhã Nam,80000,336,68000,03/11/2016,NXB Hội Nhà Văn,Hết hàng,450
Rain8x,Ranh Giới Tập 1 (Bản Bìa Mềm),"Đây là một câu chuyện nói về cuộc sống, gia đình, tình yêu, tâm sinh lý con người dưới góc nhìn của một thanh niên thuộc thế hệ nửa đầu 8x. Với những đấu tranh nội tâm gay gắt khi đứng trước ngưỡng cửa của cuộc đời , bước vào mối tình đầu. Giữa tốt đẹp và xấu xa, giữa thiên thần và ác quỷ, đôi khi chỉ cách nhau bằng một """,1980 Books,120000,496,102000,31/10/2016,NXB Lao Động Xã Hội,Hết hàng,750
Thích Nhất Hạnh,Tuổi Trẻ - Tình Yêu - Lý Tưởng,"“Có những người trẻ không có khả năng đối trị được với các cơn cảm xúc của họ. Và khi quá đau khổ họ nghĩ rằng chỉ có chết mới chấm dứt được khổ đau thôi. Vì vậy có rất nhiều người trẻ tự sát khi họ lâm vào trạng thái tuyệt vọng, cô đơn hoặc chán chường. Ở Pháp mỗi ngày trung bình có 30 thanh niên tự tử vì lý do đó. Bạn ơi, cảm xúc chỉ là một cơn bão, nó tới, nó ở lại vài mươi phút, rồi nó đi. Tại sao ta phải chết vì nó? Ta có thể nhận diện nó, mỉm cười với nó, ôm lấy nó, và học hỏi được rất nhiều từ nó. Bạn nắm cho vững phương pháp thực tập đi, và bạn chỉ cách cho những người trẻ thực tập.",Phương Nam,103000,236,87500,31/10/2016,Phương Đông,Hết hàng,400
Robert James Waller,Những Chiếc Cầu Ở Quận Madison,"Một câu chuyện tình lãng mạn, day dứt và ám ảnh của nhà văn Mỹ nổi tiếng Robert James Waller.",Phương Nam,70000,168,59500,30/10/2016,NXB Hội Nhà Văn,Hết hàng,400
Hoàng Xuân Việt,Gương Thầy Trò,là tác phẩm gần gũi nhưng khó đọc!,Huy Hoàng,86000,331,73000,01/11/2016,NXB Thanh Niên,Hết hàng,450
Nguyễn Hồng Chiến,Bí Mật Của H'Loan,12,NXB Kim Đồng,28000,132,23500,02/11/2016,NXB Kim Đồng,Hết hàng,250
Luis Prats,Hachiko - Chú Chó Đợi Chờ,Eisaburo Ueno là một vị giáo sư khả kính làm việc tại Đại học Tokyo. Ông là một người đáng tin cậy với thời gian biểu và những thói quen không bao giờ thay đổi.,NXB Kim Đồng,55000,156,46500,02/11/2016,NXB Kim Đồng,Hết hàng,300
Betty L Khoo-Kingsley,Phòng Và Chữa Bệnh Ung Thư Theo Phương Thức Tự Nhiên,"Điều chắc chắn là ai mà không ấn tượng bởi những đổi mới của khoa học và công nghệ cao mà chúng ta thấy ngày hôm nay? Ai mà không bị ấn tượng bởi cái gọi là phương thuốc diệu kỳ hoặc bức xạ, máy móc chẩn đoán hình ảnh tinh vi được sử dụng để điều trị ung thư?",Thái Hà,110000,414,93500,13/11/2016,NXB Lao Động Xã Hội,Hết hàng,570
Lax,Ruy Băng Vàng Phơ Phất,"bắt nguồn chính từ những xúc cảm như thế. Đây là tập truyện ngắn – tản văn mới nhất của Lax, một cây bút quen thuộc của báo Hoa Học Trò. Những câu chuyện, nghĩ suy trong cuốn sách là những điều nhẹ nhàng nhất, lãng đãng nhất nhưng cũng vô cùng sâu lắng, với hi vọng gửi đến bạn một chút không khí của thứ mùa rất đỗi dịu dàng này.",Văn Việt,72000,232,61000,18/11/2016,NXB Thế Giới,Hết hàng,432
Tuyết Hường,Tập Cho Con Sáng Tạo,"Ngoài các bài hướng dẫn làm handmade để giúp trẻ rèn tính tỉ mỉ, tiết kiệm, khéo léo và óc sáng tạo, sách cung cấp thêm",NXB Trẻ,125000,188,106000,10/11/2016,NXB Trẻ,Hết hàng,600
Khuyết Danh,Dương Gia Tướng,và ảnh hưởng mật thiết đối với nền văn học truyền thống Việt Nam. Khá nhiều tác phẩm nổi tiếng của văn học Trung Hoa từ,Huy Hoàng,78000,144,66000,13/11/2016,NXB Mỹ Thuật,Hết hàng,400
Hứa Trọng Lâm,Phong Thần Diễn Nghĩa,rất lâu đã rất quen thuộc với người đọc Việt.,Huy Hoàng,78000,144,66000,13/11/2016,NXB Mỹ Thuật,Hết hàng,400
Cao Phượng Diễm,Dạy Kĩ Năng Cho Trẻ Bằng Thơ - Hợp Tác Xã Bé Ngoan,kỷ luật hơn.,Thái Hà,45000,52,38000,08/11/2016,NXB Lao Động Xã Hội,Hết hàng,200
Phạm Thị Thanh,Dạy Kỹ Năng Cho Trẻ Bằng Thơ - Cám Ơn Thùng Rác,không chỉ được áp dụng ở nhà mà còn được vận dụng linh hoạt tại các nơi công cộng. Mỗi em bé là một thế giới đầy màu sắc,Thái Hà,43000,50,36500,15/11/2016,NXB Lao Động Xã Hội,Hết hàng,200
Trần Diệu Linh,Dạy Kĩ Năng Cho Trẻ Bằng Thơ - Chiếc Chổi Thần Kỳ,"chổi thần kỳ” là một mách nhỏ dành cho các bố, mẹ.",Thái Hà,43000,48,36500,08/11/2016,NXB Lao Động Xã Hội,Hết hàng,200
B.R.O,Học Sinh Chân Kinh - Tập 22: Trung Đội Bê Ta (Phần 2),"Tình chung giữa các thành viên trong quần thể lớp 10 Bê-ta sẽ khiến độc giả rơi nước mắt, quệt nước mũi!",Phan Thị,35000,126,29500,14/11/2016,NXB Đại Học Sư Phạm TpHCM,Còn hàng,220
Phan An,Con Chim Khổng Tước Còn Hát Vang Ngày Mở Đất,"Tác giả đang làm trong ngành tin học, sống tại Singapore, nên những bài viết trong ""Con chim khổng tước còn hót vang ngày mở đất"" man mác một nỗi nhớ quê, nhất là vùng đất miền trung nơi tác giả sinh ra và lớn lên. Những nhân vật quê mùa và có gì đó khác thường cứ quanh quẩn trong ký ức tác giả, gây nên một sức ám ảnh; cũng từ đó ta thấy Phan An đã hình thành một lối viết riêng khá duyên dáng mang đậm chất liệu dân gian. Thế nhưng mối băn khoăn thế sự và vấn đề xã hội vẫn có chỗ đứng trong tác phẩm và khiến nó có thể bắt điệu nhịp nhàng với độc giả thời thượng hôm nay",NXB Trẻ,55000,180,46500,10/11/2016,NXB Trẻ,Hết hàng,300
David Mitchell,Bản Đồ Mây,"bắt đầu vào 1850, Adam Ewing du hành từ đảo Chatham để về nhà tại California. Trên đường đi, anh làm bạn với tiến sĩ Goose, người bắt đầu chữa bệnh cho anh để đổi lấy một loại ký sinh trùng não hiếm….",NXB Trẻ,203000,612,172500,15/11/2016,NXB Trẻ,Hết hàng,750
Nguyễn Trường Sa,Một Chữ Cũng Là Trò,"Khi không thể bỏ nghề, người ta thường đổ lỗi cho cái nghiệp. Nhưng tôi thì thấy khác, ít nhất là trong",NXB Trẻ,45000,148,38000,16/11/2016,NXB Trẻ,Hết hàng,350
Liêu Hà Trinh,Tự Tình Lúc 0 Giờ (Tái Bản 2020),đầu tay của,Alphabooks,119000,260,101000,20/03/2020,NXB Thế Giới,Hết hàng,500
Kiera Cass,Những Cô Gái Tinh Hoa (Tuyển chọn hoàng phi tập 2),tiếp tục tranh đấu cho,Nhã Nam,90000,368,76500,15/11/2016,NXB Hà Nội,Hết hàng,600
Bạch Trà,Cuộc Sống Thượng Lưu Của Hoàng Đế Mèo - Tập 1,"Hoàng đế mèo - Con mèo bỉ bựa, đội lên đầu chủ, rất láo nháo nhưng không ai ghét được",SkyBooks,89000,144,75500,18/11/2016,NXB Dân Trí,Hết hàng,300
Lovedia,Một Vòng Hoàng Đạo - Bảo Bình,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,300
Lovedia,Một Vòng Hoàng Đạo - Song Ngư,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Lovedia,Một Vòng Hoàng Đạo - Ma Kết,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Lovedia,Một Vòng Hoàng Đạo - Nhân Mã,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Lovedia,Một Vòng Hoàng Đạo - Bọ Cạp,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Nicolai lexcov,Kẻ Hành Hương Mê Đắm,"- Tôi tin rằng, - người khách kia nói. - Căn nguyên của cách đầy ải tốn phí kia dứt khoát chỉ là do họ lười suy nghĩ, hoặc ít nhất cũng do họ thiếu những thông tin thích hợp.",NXB Kim Đồng,27000,192,22500,18/06/2010,NXB Kim Đồng,Hết hàng,400
Diệp Lạc Vô Tâm,Ngàn Năm Chờ Đợi (Tái Bản 2016),"Chàng đã tu luyện ngàn năm, cả ngàn năm sống trong sự cô đơn, chàng dùng máu và nước mắt trong trái tim mình để tạo ra một người con gái hoàn hảo nhất.",Đinh Tị,45000,176,38000,16/11/2016,NXB Văn Học,Hết hàng,300
Rick Riordan,Sấm Truyền Bí Ẩn (Phần 1 Series Những Thử Thách Của Apollo),Làm sao để trừng phạt một vị thần bất tử?,ChiBooks,113000,432,96000,15/11/2016,NXB Văn Học,Hết hàng,600
Grady Klein & Yoram Bauman,Làm Quen Kinh Tế Học Qua Biếm Họa – Tập 1: Kinh Tế Vi Mô,Cuốn sách đưa ra những khái niệm cơ bản của,Nhã Nam,86000,212,73000,11/09/2016,NXB Thế Giới,Hết hàng,350
Grady Klein & Alan Dabney,Làm Quen Thống Kê Học Qua Biếm Họa,Cuốn sách,Nhã Nam,89000,225,75500,11/09/2016,NXB Thế Giới,Hết hàng,350
Grady Klein & Yoram Bauman,Làm Quen Kinh Tế Học Qua Biếm Họa – Tập 2: Kinh Tế Vĩ Mô,Cuốn sách,Nhã Nam,89000,229,75500,11/09/2016,NXB Thế Giới,Hết hàng,350
Maria Bershadskaya,Người Lớn Bé Nhỏ - Phần Thưởng Tuyệt Vời,"Một lần, Zhenia tình cờ trông thấy thông báo: Để nhận được",NXB Kim Đồng,24000,48,20000,04/05/2016,NXB Kim Đồng,Hết hàng,200
Đồi,Độc Giả Và Nhân Vật Chính Đích Thị Là Chân Tình - Tập 2,"Anti fan mang theo cốt truyện, xuyên không tới.",Owlbooks,89000,288,75500,10/11/2016,NXB Dân Trí,Hết hàng,400
Cao Văn Dũng,Học Sinh Miền Nam - Tư Liệu Và Kỷ Niệm,Cuốn,Phương Nam,350000,868,297500,31/10/2016,NXB Văn Hoá - Văn Nghệ,Hết hàng,"1,000"
Phan Khoang,Việt Sử: Xứ Đàng Trong (1558-1777),"Giáo sư - Tiến sĩ Đỗ Quang Hưng nói trong lời giới thiệu sách: ""Viết về",Khai Tâm,252000,520,214000,31/10/2016,NXB Khoa học - Xã hội,Hết hàng,670
Jeff Lindsay,Ác Mộng Trong Đêm,"Cuộc đấu tranh giữa thiện và ác, giữa mối ràng buộc máu thịt và công lý, giữa nỗi đau, sự ám ảnh chết chóc tận sâu trong tâm hồn đứa trẻ lên ba và lương tri con người trưởng thành dằn vặt Dexter. Sự hội ngộ trong container đông lạnh với người anh trai thất lạc khiến ký ức chết chóc hơn 2 ngày rưỡi chìm trong máu của đứa trẻ lên ba trở lại sống động hơn bao giờ hết. Sự ám ảnh của máu, cái chết và những xác người bị phanh thây trong không gian hẹp của container…",Bách Việt,98000,388,83000,15/11/2016,NXB Hồng Đức,Hết hàng,530
Lovedia,Một Vòng Hoàng Đạo - Xử Nữ,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Lovedia,Một Vòng Hoàng Đạo - Thiên Bình,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Lovedia,Một Vòng Hoàng Đạo - Song Tử,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,300
Lovedia,Một Vòng Hoàng Đạo - Sư Tử,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Virginia Woolf,Căn Phòng Của Riêng Ta,(25/1/1882 – 28/3/1941) là,Alphabooks,59000,192,50000,16/11/2016,NXB Văn Học,Hết hàng,400
Lovedia,Một Vòng Hoàng Đạo - Cự Giải,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Jon Gordon,Soup - Công Thức Giúp Nuôi Dưỡng Và Xây Dựng Văn Hóa Cho Đội Ngũ Của Bạn,"Mọi người đều khát khao một sự thay đổi tích cực, một luồng gió động lực và đam mê tươi mới. Nếu bạn đã sẵn sàng khuấy động nồi súp và đứng lên lãnh đạo, Soup chắc chắn là một câu chuyện vui và hấp dẫn, cung cấp cho bạn công cụ cần thiết để xây dựng một đội ngũ “trăm trận trăm thắng” – dù tại công sở, trường học hay tại gia.",PandaBooks,50000,216,42500,16/11/2016,NXB Lao Động Xã Hội,Hết hàng,350
Lovedia,Một Vòng Hoàng Đạo - Bạch Dương,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,300
Virginia Woolf,Đến Ngọn Hải Đăng,“...,Alphabooks,115000,392,97500,16/11/2016,NXB Văn Học,Hết hàng,550
Lovedia,Một Vòng Hoàng Đạo - Kim Ngưu,"Sao Mộc may mắn năm ngoái giúp bạn vượt qua một kì thi cam go, năm nay lại giúp bạn đào hoa lên trông thấy; sao Thổ nghiêm khắc năm trước khiến bạn gặp khó khăn trầy trật với các mối quan hệ, năm nay lại chuyển sang kìm hãm bạn trong học tập…",Văn Việt,48000,136,40500,22/11/2016,NXB Hà Nội,Hết hàng,350
Lovedia,Combo Một Vòng Hoàng Đạo (Bộ 12 Cuốn),"Các hành tinh luôn không ngừng di chuyển trên bầu trời, và bởi thế, chúng cũng chẳng bao giờ chịu đứng yên một chỗ trên chính bản đồ sao của bạn đâu!",Văn Việt,576000,"1,064",489500,22/11/2016,NXB Hà Nội,Hết hàng,"1,300"
Stephen Guise,"Gieo Thói Quen Nhỏ, Gặt Thành Công Lớn","• Bạn có biết rằng những thói quen tưởng chừng nhỏ bé, đơn giản hàng ngày chính là nấc thang có thể dẫn chúng ta đến với thành công to lớn trong tương lai?",Alphabooks,54000,192,45500,22/11/2016,NXB Lao Động Xã Hội,Hết hàng,400
