Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Lại Nhĩ,Trăng Sáng Cố Hương,"Giang hồ không phải một câu chuyện cổ tích, mà là một tấm gương sáng để người ta soi vào rồi phân biệt thiện ác thị phi. Trên giang hồ, có sự phản bội, có sự giết chóc, và đương nhiên là có máu tanh. Nhưng may thay, còn có những cái nắm tay gạt hết ân oán tình thù, có những bậc trung liệt luôn vững tâm niệm dù phải đối mặt với cường địch, có những con người hiệp nghĩa sẵn sàng xả thân vì thiên hạ. Một tờ Thái Bình ước ban xuống, thiên hạ gió chuyển mây vờn. Tình nhi nữ đan xen, giang hồ tồn vong trong chớp mắt. Hãy cùng xem, oán thù liệu có cởi, ân tình liệu có đáp đền, lựa chọn của ai mới là chính xác!",Đinh Tị,126000,500,107000,14/07/2016,NXB Thanh Niên,Hết hàng,800
Chu Đình Tới,Tôi Đã Đi Du Học Bằng Học Bổng Như Thế Nào?,"Xuất phát điểm là học sinh nông thôn, điều kiện học ngoại ngữ không có. Nhưng tác giả không ngừng nỗ lực học hỏi, trau dồi kiến thức để hiện thực hóa giấc mơ du học của chính mình. Cũng như cố gắng phấn đấu để sự nghiệp nghiên cứu của bản thân ngày càng hữu ích hơn và ngày càng tốt hơn.",Alphabooks,79000,220,67000,14/07/2016,NXB Thế Giới,Hết hàng,500
Alon Gratch,Tâm Thức Israel (Tái Bản 2021),"Một Israel xấu xí hay một Israel thẳng thắn quyết liệt? Câu trả lời nào thái độ của những người Isreal, phải chăng là sự phòng vệ chính đáng. Tuổi thơ của những đứa trẻ Israel đến khi lớn lên thành những người trưởng thành hay già cỗi, luôn bị đe dọa bởi những cuộc chiến. Mọi đứa trẻ sinh ra trong bão lửa khói đạn, mặc nhiên hình thành một tính cách khẳng khái, bộc trực, đâu đó lại có chút phòng vệ, cứng đầu, và đầy mâu thuẫn.",Thái Hà,110000,340,93500,31/05/2021,NXB Thế Giới,Còn hàng,700
Chris Bradford,Samurai Trẻ Tuổi - Tập 7: Ngũ Đại - Phong,"Bị binh đoàn samurai của Shogun tập kích, nhóm Jack chỉ còn duy nhất một lối thoát – Biển Seto. Thế nhưng đây lại là một quyết định chứa đựng quá nhiều nguy hiểm tiềm tàng, từ những cơn bão to sóng lớn đến những con cá mập ăn thịt người và cả bọn ninja hải tặc. Thủy thủ đoàn không đáng tin cậy càng làm cho cuộc tháo chạy khỏi tầm tay Lãnh chúa Mori tàn độc thêm phần khó khăn. Nếu Jack không kịp làm chủ Nguyên tố Phong, biển cả chắc chắn sẽ trở thành mồ chôn của nó và nhóm bạn…",NXB Kim Đồng,50000,360,20000,19/07/2016,NXB Kim Đồng,Hết hàng,600
Đằng Bình,Phật Tội,"Nàng mang trong mình nửa dòng máu quỷ, nửa dòng máu người. Vì lẽ đó tộc nhân ruồng rẫy nàng, loài người xua đuổi nàng. Ngay chính cha mẹ ruột cũng từ nàng.",AMAK,136000,490,115500,22/07/2016,NXB Văn Học,Hết hàng,800
Bùi Anh Tấn,Mưa Sau Song Cửa,"Cuốn sách là tập hợp những câu chuyện xoay quanh tình yêu nam – nữ. Phong cách trưởng thành, già dặn. Qua đó gửi gắm suy tư về cuộc sống và tình người.",Limbooks,79000,240,67000,05/08/2016,NXB Văn Học,Hết hàng,500
Colleen Houck,Cuộc Phiêu Lưu Của Hổ - Phần 2 Series Tình Hổ,"Trở về Oregon, Kelsey cố quay lại cuộc sống thường nhật và gạt đi cảm xúc cô dành cho Ren. Mùa hè tuổi mười tám của Kelsey Hayes thật điên rồ. Sẽ chẳng có ai tin câu chuyện mà cô đã trải qua.",ChiBooks,161000,630,136500,30/07/2016,NXB Văn Hoá - Văn Nghệ,Hết hàng,900
Thích Nhất Hạnh,Hương Vị Của Đất - Văn Lang Dị Sử,"Văn Lang là nhà nước đầu tiên của Việt Nam trong lịch sử, được cai trị bởi các vua Hùng. Nước Văn Lang được hình thành vào khoảng năm 2879 TCN và kết thúc vào năm 258 TCN bởi An Dương Vương. Từ đây hình thành quan niệm dân gian coi nước Văn Lang đời Hùng Vương ra đời cách ngày nay khoảng hơn 4000 năm và thường được sách báo nói tới 4000 năm văn hiến.",Phương Nam,95000,210,80500,31/07/2016,NXB Văn Hoá - Văn Nghệ,Hết hàng,500
Agatha Christie,Án Mạng Ở Nhà Mục Vụ (Tái Bản 2022),,NXB Trẻ,130000,340,110500,14/02/2022,NXB Trẻ,Còn hàng,600
Jenny Han,Những Cánh Thư Chưa Khép,Lara Jean không kỳ vọng rằng mình sẽ thực sự thích Peter.,Báo Sinh Viên VN - Hoa Học trò,75000,300,64000,10/08/2016,NXB Trẻ,Hết hàng,600
Minh Hiểu Khê,Tường Vi Đêm Đầu Tiên - Tập 3 (Bìa Cứng),"Tự thoát ra khỏi vực sâu u tối, Diệp Anh xuất hiện trước mắt độc giả mạnh mẽ như bông tường vi bừng nở sau đêm phong ba bão tố.",Bách Việt,135000,440,114500,30/07/2016,NXB Văn Học,Hết hàng,640
Torihara Takashi,5 Giây Suy Nghĩ Cải Thiện 90% Hiệu Suất,-,Thái Hà,59000,239,50000,Đang,NXB Lao Động Xã Hội,Hết hàng,400
BS. Trần Thị Huyên Thảo,Chào Con! Ba Mẹ Đã Sẵn Sàng! (Tái Bản 2020),- Cuốn sách không chỉ được viết trên nền tảng khoa học của một bác sĩ mà còn chứa chan tình yêu của một người mẹ.,NXB Trẻ,95000,230,80500,20/02/2020,NXB Trẻ,Hết hàng,500
Vũ Minh Đức,Sài Gòn Chữ Vội Trên Vai (Tái Bản 2018),"“Sài Gòn bé tẹo, ai bỏ túi mang theo?...",NXB Văn Hóa - Văn Nghệ,70000,140,59500,01/06/2018,NXB Văn Hoá - Văn Nghệ,Hết hàng,340
Nguyễn Hồng Năng,Thị Trường Vốn Nợ,- Lê Nết,Alphabooks,139000,384,118000,31/07/2016,NXB Công Thương,Hết hàng,600
Minh Hiền,Ước Gì Kịp Nói Ai Đó Đừng Đi,Kỷ niệm ùa về. Như một thước phim quay chậm. Nụ cười của cô. Dáng hình của cô. Và cả của anh. Vậy mà giờ đây tất cả đã thành một điều gì đó thật buồn. Một điều gì đó chỉ có thể thương thật thương mà không cách nào chạm tới.,1980 Books,79000,240,67000,05/08/2016,NXB Lao Động Xã Hội,Hết hàng,400
